gene	rec_mean	orthogroup	freq
Ha412HOChr01:124496505-124499948	0.61847668119963	OG0004296	3
Ha412HOChr01:124499950-124500831	0.61844365173735	OG0004296	3
Ha412HOChr01:124551394-124553023	0.618410622275069	OG0011036	1
Ha412HOChr01:124827394-124829801	0.618377592812789	OG0014549	4
Ha412HOChr01:124837457-124843679	0.618344563350509	OG0012336	1
Ha412HOChr01:12521628-12537659	0.206368080327652	OG0020093	3
Ha412HOChr01:125449119-125452354	0.631952701810015	OG0026948	2
Ha412HOChr01:125635966-125645005	0.631919672347734	OG0002274	4
Ha412HOChr01:125651778-125657480	0.631886642885454	OG0011432	1
Ha412HOChr01:125681245-125688363	0.631853613423173	OG0002274	4
Ha412HOChr01:125801406-125809074	0.631820583960893	OG0005352	2
